brand_name,yarn_name,texture,weight,fiber_type_1,fiber_type_2,fiber_type_3,fiber_type_4,fiber_type_5,fiber_qty_1,fiber_qty_2,fiber_qty_3,fiber_qty_4,fiber_qty_5,needles,gauge_sts,gauge_rows,ball_weight_g,ball_size_m
Bernat,Alize Blanket EZ,Fixed loops (to use without needles),Jumbo,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,180, 16
Bernat,Baby Blanket,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,8 sts, 13 rows,NaN,NaN
Bernat,Baby Blanket Sparkle,Chenille,Super Bulky,Polyester,Metallic,NaN,NaN,NaN,99,1,NaN,NaN,NaN,8mm,8 sts, 13 rows,300, 201
Bernat,Baby Sparkle,Plied (3 or more plies),Fingering,Acrylic,Polyester,NaN,NaN,NaN,90,10,NaN,NaN,NaN,3.25mm,28 sts, 36 rows,43, 139
Bernat,Baby Sport,Plied (3 or more plies),DK,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,22 sts, 30 rows,NaN,NaN
Bernat,Baby Sport Sparkle,Plied (3 or more plies),DK,Acrylic,Polyester,NaN,NaN,NaN,86,14,NaN,NaN,NaN,4mm,22 sts, 30 rows,300, 1077
Bernat,Baby Velvet,Chenille,Aran,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,16 sts,NaN,300, 450
Bernat,Blanket,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,8 sts, 13 rows,NaN,NaN
Bernat,Blanket Color Pooling,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,8 sts, 13 rows,300, 201
Bernat,Blanket Extra,Chenille,Jumbo,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,15mm,5 sts, 7 rows,300, 87
Bernat,Blanket Extra Thick,Chenille,Jumbo,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,25mm,5 sts,NaN,600, 66
Bernat,Blanket Ombré,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,11 sts, 13 rows,300, 201
Bernat,Blanket Pet,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,16 sts,NaN,225, 246
Bernat,Blanket Stripes,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,8 sts,NaN,300, 201
Bernat,Blanket Tweeds,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,8 sts, 13 rows,300, 201
Bernat,Bundle Up,Fuzzy chain,Worsted,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5.5mm,20 sts, 26 rows,140, 244
Bernat,Colorwhirl,Filled tube,Jumbo,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,2.75mm,7 sts, 10 rows,250, 70
Bernat,Crushed Velvet,Chenille,Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,15 sts, 25 rows,300, 288
Bernat,Fabwoolous,Plied (3 or more plies),Aran,Acrylic,Superwash,NaN,NaN,NaN,80,20,NaN,NaN,NaN,5mm,18 sts, 24 rows,170, 280
Bernat,Forever Fleece,Fleece-effect single ply,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,9mm,10 sts, 12 rows,280, 177
Bernat,Giggles,Plied (3 or more plies),Aran,Acrylic,Nylon,NaN,NaN,NaN,90,10,NaN,NaN,NaN,5mm,18 sts,NaN,100, 169
Bernat,Handicrafter Cotton,Plied (3 or more plies),Worsted,Cotton,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts, 26 rows,NaN,NaN
Bernat,Happy Holidays,Single ply wrapped with fine thread,Aran,Acrylic,Metallic,NaN,NaN,NaN,98,2,NaN,NaN,NaN,5mm,18 sts,NaN,100, 219
Bernat,Maker,Filled tube,Bulky,Cotton,Nylon,NaN,NaN,NaN,72,28,NaN,NaN,NaN,8mm,13 sts, 17 rows,NaN,NaN
Bernat,Maker Big,Filled tube,Jumbo,Cotton,Nylon,NaN,NaN,NaN,50,50,NaN,NaN,NaN,12mm,6 sts, 8 rows,250, 70
Bernat,Pipsqueak,Fleece style,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5.5mm,11 sts, 16 rows,NaN,NaN
Bernat,Plush Big,Filled tube,Jumbo,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,25mm,4 sts, 5 rows,500, 41
Bernat,Premium,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts, 24 rows,198, 329
Bernat,Premium Tweeds,Nubby / Tweedy,Aran,Acrylic,Viscose,NaN,NaN,NaN,97,3,NaN,NaN,NaN,5mm,18 sts, 24 rows,198, 329
Bernat,Satin,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts, 24 rows,100, 183
Bernat,Sheepy,Fleece style,Super Bulky,Nylon,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,9 sts, 10 rows,250, 136
Bernat,Softee Baby,Plied (3 or more plies),DK,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,22 sts, 30 rows,NaN,NaN
Bernat,Softee Baby Cotton,S on S plied,DK,Cotton,Acrylic,NaN,NaN,NaN,60,40,NaN,NaN,NaN,4mm,22 sts, 28 rows,120, 232
Bernat,Softee Chunky (2012 version),Plied (3 or more plies),Super Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,11 sts, 14 rows,NaN,NaN
Bernat,Softee Cotton,S on S plied,DK,Cotton,Acrylic,NaN,NaN,NaN,60,40,NaN,NaN,NaN,4mm,22 sts, 28 rows,120, 232
Bernat,Super Value,Plied (3 or more plies),Aran,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,5mm,18 sts, 24 rows,NaN,NaN
Bernat,Symphony,Single ply,Bulky,Acrylic,Superwash,NaN,NaN,NaN,80,20,NaN,NaN,NaN,6.5mm,13 sts, 18 rows,225, 282
Bernat,Velvet,Chenille,Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6.5mm,12 sts, 17 rows,300, 288
Bernat,Velvet Plus,Chenille,Super Bulky,Polyester,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,9mm,7 sts, 10 rows,300, 71
Bernat,Viva,Fuzzy chain,Super Bulky,Acrylic,Nylon,NaN,NaN,NaN,82,18,NaN,NaN,NaN,8mm,11 sts, 15 rows,100, 77
Bernat,Wavelength,2 ply,Bulky,Acrylic,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,6mm,14 sts, 20 rows,140, 204
Berroco,Aerial,Brushed bouclé (fuzzy / fluffy),Lace,Superkid,Silk,NaN,NaN,NaN,65,35,NaN,NaN,NaN,2.75mm,NaN,NaN,25, 260
Berroco,Carousel,Plied (3 or more plies),Sport,Superwash,Acrylic,NaN,NaN,NaN,52,48,NaN,NaN,NaN,3.5mm,27 sts,NaN,100, 380
Berroco,Chai,Nubby / Tweedy,Worsted,Linen,Silk,NaN,NaN,NaN,56,44,NaN,NaN,NaN,4mm,21 sts, 27 rows,50, 130
Berroco,Coco,Single ply wrapped with fine thread,Super Bulky,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,10mm,10 sts, 14 rows,100, 70
Berroco,Comfort,Crepe / Cable-plied,Worsted,Acrylic,Nylon,NaN,NaN,NaN,50,50,NaN,NaN,NaN,5mm,20 sts,NaN,100, 193
Berroco,Comfort Chunky,Crepe / Cable-plied,Bulky,Acrylic,Nylon,NaN,NaN,NaN,50,50,NaN,NaN,NaN,6.5mm,14 sts,NaN,100, 137
Berroco,Comfort DK,Crepe / Cable-plied,DK,Acrylic,Nylon,NaN,NaN,NaN,50,50,NaN,NaN,NaN,3.75mm,24 sts,NaN,50, 165
Berroco,Comfort Sock,Crepe / Cable-plied,Light Fingering,Acrylic,Nylon,NaN,NaN,NaN,50,50,NaN,NaN,NaN,3.25mm,30 sts, 40 rows,100, 412
Berroco,Dash,Chained,Super Bulky,Merino,Nylon,NaN,NaN,NaN,92,8,NaN,NaN,NaN,9mm,12 sts, 17 rows,100, 210
Berroco,Dulce,Fuzzy / Fluffy,Worsted,Cotton,Nylon,Alpaca,Wool,NaN,50,20,16,14,NaN,4.5mm,19 sts, 26 rows,50, 160
Berroco,Fika,Nubby / Tweedy,DK,Merino,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4mm,23 sts,NaN,100, 275
Berroco,Gaia,Nubby / Tweedy,Worsted,Cotton,Polyester,NaN,NaN,NaN,70,30,NaN,NaN,NaN,4mm,20 sts, 24 rows,50, 128
Berroco,Isola,Slubby tweed,DK,Cotton,Linen,Viscose,NaN,NaN,38,36,26,NaN,NaN,3.75mm,22 sts, 30 rows,100, 260
Berroco,Lanas,Plied (3 or more plies),Worsted,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,4.5mm,20 sts,NaN,100, 200
Berroco,Lanas Light,2 ply,Sport,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,3.5mm,25 sts,NaN,100, 350
Berroco,Lanas Quick,2 ply,Super Bulky,Wool,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,8mm,12 sts, 16 rows,100, 100
Berroco,Lucca,S on S plied,Worsted,Cashmere,Cotton,NaN,NaN,NaN,50,50,NaN,NaN,NaN,4.5mm,20 sts, 28 rows,50, 143
Berroco,Lumi,Wrap around inner core,Worsted,Cotton,Polyester,Metallic,NaN,NaN,80,18,2,NaN,NaN,3.75mm,20 sts, 24 rows,50, 125
