Brand Names,Yarn Names,Weight,Texture,Fiber,Needles,Gauge,Balls
Bernat,Alize Blanket EZ,Jumbo / Without needles,Fixed loops (to use without needles),Polyester (100%),(Varies),(Unknown),180g; 16.m (17.5 yds)
Bernat,Baby Blanket,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"8 sts / 10 cm (4"") and 13 rows",(Varies)
Bernat,Baby Blanket Sparkle,Super Bulky / Super Chunky,Chenille,"Polyester (99%),Metallic (1%)",8mm(11 US)(0 UK),"8 sts / 10 cm (4"") and 13 rows",300g; 201m (220 yds)
Bernat,Baby Sparkle,Fingering / 4-ply / Super Fine,Plied (3 or more plies),"Acrylic (90%),Polyester (10%)",3.25mm(3 US)(10 UK),"28 sts / 10 cm (4"") and 36 rows",43g; 139m (152 yds)
Bernat,Baby Sport,DK / Light,Plied (3 or more plies),Acrylic (100%),4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 30 rows",(Varies)
Bernat,Baby Sport Sparkle,DK / Light,Plied (3 or more plies),"Acrylic (86%),Polyester (14%)",4mm(6 US)(8 UK),"22 sts / 10 cm (4"") and 30 rows",300g; 1077m (1178 yds)
Bernat,Baby Velvet,Heavy Worsted,Chenille,Polyester (100%),4.5mm(7 US)(7 UK),"16 sts / 10 cm (4"")",300g; 450m (492 yds)
Bernat,Blanket,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"8 sts / 10 cm (4"") and 13 rows",(Varies)
Bernat,Blanket Color Pooling,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"8 sts / 10 cm (4"") and 13 rows",300g; 201m (220 yds)
Bernat,Blanket Extra,Jumbo / Without needles,Chenille,Polyester (100%),15mm(18 US)( UK),"5 sts / 10 cm (4"") and 7 rows",300g; 87m (95 yds)
Bernat,Blanket Extra Thick,Jumbo / Without needles,Chenille,Polyester (100%),25mm(50 US)( UK),"2.5 sts / 10 cm (4"") and 3.5 rows",600g; 66m (72 yds)
Bernat,Blanket Ombré,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"11 sts / 10 cm (4"") and 13 rows",300g; 201m (220 yds)
Bernat,Blanket Pet,Super Bulky / Super Chunky,Chenille,Polyester (100%),6mm(10 US)(4 UK),"11-16 sts / 10 cm (4"")",225g; 246m (269 yds)
Bernat,Blanket Stripes,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"8 sts / 10 cm (4"")",300g; 201m (220 yds)
Bernat,Blanket Tweeds,Super Bulky / Super Chunky,Chenille,Polyester (100%),8mm(11 US)(0 UK),"8 sts / 10 cm (4"") and 13 rows",300g; 201m (220 yds)
Bernat,Bundle Up,Worsted / Medium,Fuzzy chain,Polyester (100%),5.5mm(9 US)(5 UK),"20 sts / 10 cm (4"") and 26 rows",140g; 244m (267 yds)
Bernat,Colorwhirl,Jumbo / Without needles,Filled tube,Acrylic (100%),12.75mm( US)( UK),"7 sts / 10 cm (4"") and 10 rows",250g; 70m (77 yds)
